"","ID","acquisition_date","acquisition_hour","OBJECTID","Permanent_","GNIS_Name","source","sat"
"1","36473-1","2022-06-16","10",1384,"106454929","The Basin","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"2","36473-1","2022-06-16","10",12367,"152433086","Great Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"3","36473-1","2022-06-16","10",27994,"132665760","Panther Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"4","36473-1","2022-06-16","10",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"5","36473-1","2022-06-16","10",34684,"106454579","Custer Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"6","36473-1","2022-06-16","10",17927,"120804340","Sunapee Lake","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"7","36473-1","2022-06-16","10",12449,"136214359","Indian Lake","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"8","36473-1","2022-06-16","10",19374,"136215443","Yawgoo Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"9","36473-1","2022-06-16","10",22736,"136216759","Barber Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"10","36559-1","2022-06-22","10",47651,"122336827","Lake Murray","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"11","36559-1","2022-06-22","10",95501,"130875175","Wateree Lake","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"12","36573-3","2022-06-23","10",1384,"106454929","The Basin","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"13","36573-3","2022-06-23","10",12367,"152433086","Great Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"14","36573-3","2022-06-23","10",27994,"132665760","Panther Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"15","36573-3","2022-06-23","10",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"16","36573-3","2022-06-23","10",34684,"106454579","Custer Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"17","36573-3","2022-06-23","10",35119,"152433096","China Lake","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"18","36573-3","2022-06-23","10",12449,"136214359","Indian Lake","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"19","36573-3","2022-06-23","10",19374,"136215443","Yawgoo Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"20","36573-3","2022-06-23","10",22736,"136216759","Barber Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"21","36602-1","2022-06-25","11",47651,"122336827","Lake Murray","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"22","36602-1","2022-06-25","11",95501,"130875175","Wateree Lake","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"23","36616-1","2022-06-26","10",1384,"106454929","The Basin","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"24","36616-1","2022-06-26","10",12367,"152433086","Great Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"25","36616-1","2022-06-26","10",27994,"132665760","Panther Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"26","36616-1","2022-06-26","10",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"27","36616-1","2022-06-26","10",34684,"106454579","Custer Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"28","36616-1","2022-06-26","10",17927,"120804340","Sunapee Lake","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"29","36616-1","2022-06-26","10",12449,"136214359","Indian Lake","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"30","36616-1","2022-06-26","10",19374,"136215443","Yawgoo Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"31","36616-1","2022-06-26","10",22736,"136216759","Barber Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"32","27722-1","2022-06-27","10",47651,"122336827","Lake Murray","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"33","27722-1","2022-06-27","10",95501,"130875175","Wateree Lake","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"34","27736-2","2022-06-28","10",1384,"106454929","The Basin","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"35","27736-2","2022-06-28","10",12367,"152433086","Great Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"36","27736-2","2022-06-28","10",27994,"132665760","Panther Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"37","27736-2","2022-06-28","10",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"38","27736-2","2022-06-28","10",34684,"106454579","Custer Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"39","27736-2","2022-06-28","10",35119,"152433096","China Lake","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"40","27736-2","2022-06-28","10",12449,"136214359","Indian Lake","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"41","27736-2","2022-06-28","10",19374,"136215443","Yawgoo Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"42","27736-2","2022-06-28","10",22736,"136216759","Barber Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"43","27765-1","2022-06-30","11",47651,"122336827","Lake Murray","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"44","27765-1","2022-06-30","11",95501,"130875175","Wateree Lake","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"45","27779-1","2022-07-01","10",1384,"106454929","The Basin","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"46","27779-1","2022-07-01","10",12367,"152433086","Great Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"47","27779-1","2022-07-01","10",27994,"132665760","Panther Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"48","27779-1","2022-07-01","10",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"49","27779-1","2022-07-01","10",34684,"106454579","Custer Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"50","27779-1","2022-07-01","10",17927,"120804340","Sunapee Lake","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"51","27779-1","2022-07-01","10",12449,"136214359","Indian Lake","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"52","27779-1","2022-07-01","10",19374,"136215443","Yawgoo Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"53","27779-1","2022-07-01","10",22736,"136216759","Barber Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"54","36702-1","2022-07-02","10",47651,"122336827","Lake Murray","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"55","36702-1","2022-07-02","10",95501,"130875175","Wateree Lake","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"56","36702-1","2022-07-02","10",47651,"122336827","Lake Murray","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"57","36702-1","2022-07-02","10",95501,"130875175","Wateree Lake","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"58","36716-2","2022-07-03","10",1384,"106454929","The Basin","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"59","36716-2","2022-07-03","10",12367,"152433086","Great Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"60","36716-2","2022-07-03","10",27994,"132665760","Panther Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"61","36716-2","2022-07-03","10",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"62","36716-2","2022-07-03","10",34684,"106454579","Custer Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"63","36716-2","2022-07-03","10",35119,"152433096","China Lake","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"64","36716-2","2022-07-03","10",12449,"136214359","Indian Lake","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"65","36716-2","2022-07-03","10",19374,"136215443","Yawgoo Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"66","36716-2","2022-07-03","10",22736,"136216759","Barber Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"67","36716-3","2022-07-03","10",1384,"106454929","The Basin","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"68","36716-3","2022-07-03","10",12367,"152433086","Great Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"69","36716-3","2022-07-03","10",27994,"132665760","Panther Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"70","36716-3","2022-07-03","10",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"71","36716-3","2022-07-03","10",34684,"106454579","Custer Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"72","36716-3","2022-07-03","10",35119,"152433096","China Lake","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"73","36716-3","2022-07-03","10",12449,"136214359","Indian Lake","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"74","36716-3","2022-07-03","10",19374,"136215443","Yawgoo Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"75","36716-3","2022-07-03","10",22736,"136216759","Barber Pond","documents/247904/4742646/MP_ACQ__KML_20220616T120000_20220704T150000.kml","S2a"
"76","36745-1","2022-07-05","11",47651,"122336827","Lake Murray","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"77","36745-1","2022-07-05","11",95501,"130875175","Wateree Lake","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"78","36759-1","2022-07-06","10",1384,"106454929","The Basin","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"79","36759-1","2022-07-06","10",12367,"152433086","Great Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"80","36759-1","2022-07-06","10",27994,"132665760","Panther Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"81","36759-1","2022-07-06","10",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"82","36759-1","2022-07-06","10",34684,"106454579","Custer Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"83","36759-1","2022-07-06","10",17927,"120804340","Sunapee Lake","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"84","36759-1","2022-07-06","10",12449,"136214359","Indian Lake","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"85","36759-1","2022-07-06","10",19374,"136215443","Yawgoo Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"86","36759-1","2022-07-06","10",22736,"136216759","Barber Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"87","27865-1","2022-07-07","10",47651,"122336827","Lake Murray","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"88","27865-1","2022-07-07","10",95501,"130875175","Wateree Lake","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"89","27879-2","2022-07-08","10",1384,"106454929","The Basin","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"90","27879-2","2022-07-08","10",12367,"152433086","Great Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"91","27879-2","2022-07-08","10",27994,"132665760","Panther Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"92","27879-2","2022-07-08","10",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"93","27879-2","2022-07-08","10",34684,"106454579","Custer Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"94","27879-2","2022-07-08","10",35119,"152433096","China Lake","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"95","27879-2","2022-07-08","10",12449,"136214359","Indian Lake","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"96","27879-2","2022-07-08","10",19374,"136215443","Yawgoo Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"97","27879-2","2022-07-08","10",22736,"136216759","Barber Pond","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"98","27908-1","2022-07-10","11",47651,"122336827","Lake Murray","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"99","27908-1","2022-07-10","11",95501,"130875175","Wateree Lake","documents/247904/4742649/MP_ACQ__KML_20220623T120000_20220711T150000.kml","S2b"
"100","36845-1","2022-07-12","10",47651,"122336827","Lake Murray","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"101","36845-1","2022-07-12","10",95501,"130875175","Wateree Lake","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"102","36859-3","2022-07-13","10",1384,"106454929","The Basin","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"103","36859-3","2022-07-13","10",12367,"152433086","Great Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"104","36859-3","2022-07-13","10",27994,"132665760","Panther Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"105","36859-3","2022-07-13","10",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"106","36859-3","2022-07-13","10",34684,"106454579","Custer Pond","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
"107","36859-3","2022-07-13","10",35119,"152433096","China Lake","documents/247904/4742646/MP_ACQ__KML_20220630T120000_20220718T150000.kml","S2a"
